iter	Passed	Remaining
0	36	10834
1	76	11380
2	116	11540
3	157	11675
4	199	11771
5	242	11906
6	283	11874
7	326	11908
8	367	11898
9	409	11882
10	451	11859
11	495	11882
12	538	11889
13	581	11883
14	623	11844
15	662	11765
16	704	11721
17	744	11657
18	783	11590
19	825	11557
20	867	11527
21	907	11468
22	946	11402
23	987	11351
24	1027	11303
25	1067	11253
26	1112	11247
27	1152	11196
28	1192	11144
29	1232	11095
30	1276	11072
31	1319	11051
32	1364	11038
33	1409	11029
34	1453	11001
35	1496	10977
36	1539	10940
37	1579	10887
38	1619	10835
39	1664	10819
40	1707	10785
41	1748	10742
42	1790	10702
43	1834	10673
44	1874	10619
45	1916	10580
46	1960	10550
47	1999	10496
48	2039	10447
49	2082	10413
50	2127	10387
51	2169	10347
52	2208	10293
53	2247	10237
54	2287	10189
55	2331	10157
56	2375	10127
57	2417	10088
58	2461	10053
59	2502	10011
60	2543	9965
61	2584	9920
62	2627	9885
63	2669	9843
64	2713	9809
65	2754	9765
66	2794	9719
67	2832	9662
68	2874	9624
69	2918	9587
70	2962	9553
71	3003	9510
72	3043	9463
73	3084	9420
74	3126	9379
75	3168	9338
76	3212	9304
77	3254	9264
78	3300	9233
79	3364	9252
80	3461	9358
81	3530	9386
82	3579	9359
83	3621	9313
84	3665	9272
85	3708	9228
86	3749	9180
87	3789	9129
88	3831	9083
89	3872	9036
90	3918	8999
91	3963	8960
92	4005	8915
93	4044	8864
94	4090	8826
95	4131	8780
96	4175	8738
97	4216	8690
98	4256	8642
99	4302	8604
100	4347	8564
101	4388	8519
102	4429	8472
103	4472	8429
104	4516	8387
105	4557	8341
106	4597	8292
107	4639	8248
108	4678	8198
109	4720	8153
110	4762	8108
111	4803	8062
112	4844	8016
113	4884	7970
114	4928	7927
115	4966	7878
116	5007	7833
117	5051	7791
118	5092	7745
119	5135	7703
120	5178	7660
121	5218	7613
122	5260	7569
123	5302	7525
124	5344	7481
125	5386	7438
126	5429	7395
127	5472	7353
128	5512	7307
129	5556	7265
130	5597	7220
131	5638	7176
132	5681	7134
133	5725	7092
134	5766	7048
135	5806	7001
136	5846	6955
137	5888	6912
138	5929	6868
139	5970	6823
140	6012	6779
141	6053	6735
142	6096	6693
143	6140	6652
144	6186	6613
145	6227	6568
146	6271	6527
147	6315	6486
148	6358	6443
149	6398	6398
150	6441	6355
151	6486	6315
152	6537	6280
153	6597	6254
154	6657	6227
155	6716	6200
156	6758	6156
157	6813	6123
158	6860	6083
159	6907	6044
160	6951	6001
161	6994	5958
162	7039	5916
163	7087	5877
164	7138	5840
165	7193	5806
166	7240	5766
167	7285	5724
168	7329	5681
169	7372	5637
170	7413	5592
171	7457	5549
172	7500	5505
173	7545	5464
174	7587	5419
175	7632	5377
176	7684	5339
177	7750	5311
178	7803	5274
179	7851	5234
180	7905	5197
181	7955	5158
182	8001	5115
183	8049	5074
184	8098	5034
185	8150	4995
186	8195	4952
187	8237	4907
188	8289	4868
189	8336	4826
190	8396	4791
191	8447	4751
192	8501	4713
193	8547	4670
194	8595	4628
195	8647	4588
196	8698	4548
197	8751	4508
198	8802	4467
199	8848	4424
200	8900	4383
201	8949	4341
202	8995	4298
203	9047	4257
204	9098	4216
205	9171	4185
206	9241	4151
207	9307	4116
208	9372	4080
209	9438	4045
210	9509	4011
211	9565	3970
212	9610	3925
213	9659	3882
214	9708	3838
215	9760	3795
216	9817	3755
217	9904	3725
218	9979	3691
219	10062	3659
220	10140	3624
221	10235	3596
222	10313	3561
223	10375	3520
224	10434	3478
225	10482	3432
226	10528	3385
227	10577	3340
228	10628	3295
229	10680	3250
230	10725	3203
231	10772	3157
232	10820	3111
233	10871	3066
234	10919	3020
235	10972	2975
236	11019	2929
237	11069	2883
238	11119	2838
239	11166	2791
240	11216	2746
241	11264	2699
242	11309	2652
243	11355	2606
244	11404	2560
245	11454	2514
246	11505	2468
247	11555	2422
248	11603	2376
249	11651	2330
250	11700	2284
251	11746	2237
252	11800	2192
253	11852	2146
254	11902	2100
255	11954	2054
256	12004	2008
257	12055	1962
258	12103	1916
259	12148	1868
260	12199	1822
261	12246	1776
262	12292	1729
263	12340	1682
264	12388	1636
265	12441	1590
266	12490	1543
267	12537	1497
268	12585	1450
269	12631	1403
270	12677	1356
271	12722	1309
272	12765	1262
273	12815	1216
274	12870	1170
275	12918	1123
276	12965	1076
277	13011	1029
278	13059	983
279	13103	935
280	13145	888
281	13189	841
282	13231	794
283	13292	748
284	13337	701
285	13381	655
286	13424	608
287	13467	561
288	13511	514
289	13554	467
290	13599	420
291	13642	373
292	13686	326
293	13729	280
294	13773	233
295	13817	186
296	13867	140
297	13909	93
298	13951	46
299	13998	0
